ERA/Clim Combo,Set1,Set2,Set3,Set4,Set5,,,,,,,
ERA5,0.868771274,0.845004481,0.878979252,0.858931854,0.870364322,,,,,,,
wclim0,0.527613889,0.545966908,0.526460353,0.550129692,0.600998589,,,,,,,
wclim1,0.713956091,0.705326726,0.720592521,0.711404613,0.727140638,,,,,,,
woclimJ,0.646450833,0.647989452,0.656337026,0.66463638,0.68112548,,,,,,,
woclimJF,0.755464746,0.74412234,0.772050193,0.771925675,0.77679029,,,,,,,
woclimJFM,0.860565992,0.844683539,0.860646489,0.850125407,0.857982161,,,,,,,
woclimJFMA,0.869828079,0.86319392,0.878812676,0.873291747,0.882777006,,,,,,,
woclimJFMAM,0.861668402,0.841830636,0.86206703,0.852816394,0.862945787,,,,,,,
woclimJFMAMJ,0.862230468,0.839390261,0.862665721,0.84373379,0.860363778,,,,,,,
wclimJFMA,0.500866036,0.523502701,0.505136699,0.514973746,0.556792905,,,,,,,
