Obs Volume,Model Volume,Model Stdev
328694437.14048004,242462079.59629226,15505952.592424009
254255052.0729599,191616401.53119493,17074187.30755912
319304495.64671993,209966197.41274905,16575398.188113794
435541108.5619199,774045243.7710482,20701762.98435563
2355307062.58944,2233759231.5157785,24222117.076321524
4030332681.18528,4021813398.3546076,24661966.913907614
4332379061.32992,4240596907.1749763,22883756.1646912
2628312638.79168,2724637347.6790657,22727846.907021493
1549668187.0540795,1393196085.875136,8708202.145809917
1001959114.01472,741464077.7317278,9029301.402311841
706819405.2710397,525466305.74582016,9528681.6759391
478062521.5795201,422932368.740211,9079471.44162048
